Degrees             IR Distance (cm)    Sonar Distance(cm)  
0                   85.00               60.73               
1                   85.00               45.10               
2                   85.00               44.68               
3                   85.00               46.15               
4                   85.00               49.10               
5                   85.00               43.15               
6                   85.00               39.29               
7                   85.00               45.76               
8                   85.00               39.04               
9                   85.00               38.51               
10                  85.00               38.89               
11                  85.00               38.05               
12                  85.00               39.26               
13                  85.00               38.47               
14                  85.00               37.93               
15                  85.00               37.94               
16                  83.95               37.83               
17                  85.00               37.40               
18                  85.00               38.29               
19                  85.00               38.70               
20                  85.00               37.04               
21                  85.00               37.05               
22                  85.00               37.41               
23                  85.00               37.77               
24                  85.00               37.73               
25                  85.00               36.90               
26                  84.68               37.31               
27                  78.88               36.48               
28                  85.00               36.91               
29                  85.00               37.27               
30                  85.00               36.86               
31                  85.00               37.74               
32                  85.00               37.27               
33                  85.00               36.86               
34                  84.70               36.85               
35                  74.52               37.27               
36                  74.68               37.28               
37                  56.19               36.85               
38                  55.84               37.24               
39                  42.56               37.70               
40                  42.80               36.84               
41                  36.57               36.86               
42                  75.40               36.88               
43                  85.00               38.18               
44                  85.00               38.20               
45                  85.00               37.07               
46                  85.00               37.07               
47                  85.00               38.65               
48                  85.00               38.29               
49                  85.00               37.46               
50                  85.00               37.86               
51                  85.00               38.33               
52                  85.00               38.35               
53                  85.00               37.97               
54                  85.00               37.97               
55                  85.00               38.84               
56                  85.00               61.71               
57                  85.00               40.19               
58                  85.00               38.92               
59                  85.00               100.00              
60                  85.00               100.00              
61                  85.00               100.00              
62                  85.00               60.73               
63                  85.00               100.00              
64                  85.00               100.00              
65                  85.00               60.65               
66                  85.00               60.18               
67                  85.00               61.04               
68                  85.00               59.70               
69                  85.00               59.28               
70                  85.00               59.64               
71                  85.00               59.60               
72                  85.00               59.18               
73                  85.00               59.61               
74                  85.00               59.54               
75                  85.00               59.99               
76                  85.00               59.87               
77                  85.00               58.14               
78                  85.00               59.44               
79                  85.00               58.97               
80                  85.00               58.56               
81                  85.00               59.41               
82                  85.00               58.53               
83                  85.00               58.15               
84                  85.00               58.15               
85                  85.00               58.96               
86                  85.00               58.94               
87                  85.00               58.96               
88                  85.00               58.11               
89                  85.00               58.11               
90                  85.00               58.48               
91                  85.00               58.46               
92                  85.00               58.46               
93                  85.00               58.46               
94                  84.33               58.46               
95                  82.60               58.45               
96                  68.59               58.44               
97                  62.78               58.51               
98                  85.00               58.52               
99                  85.00               58.57               
100                 85.00               59.01               
101                 85.00               59.00               
102                 85.00               59.00               
103                 85.00               59.07               
104                 85.00               59.49               
105                 85.00               59.04               
106                 85.00               58.66               
107                 85.00               58.65               
108                 85.00               59.07               
109                 85.00               59.95               
110                 85.00               49.65               
111                 85.00               49.19               
112                 85.00               48.81               
113                 85.00               47.55               
114                 85.00               47.51               
115                 85.00               48.35               
116                 85.00               47.51               
117                 85.00               47.99               
118                 85.00               47.46               
119                 85.00               46.99               
120                 85.00               46.59               
121                 85.00               47.04               
122                 85.00               46.12               
123                 85.00               47.99               
124                 85.00               46.52               
125                 85.00               45.24               
126                 85.00               47.34               
127                 85.00               44.75               
128                 85.00               45.15               
129                 85.00               45.75               
130                 85.00               45.15               
131                 85.00               46.83               
132                 85.00               45.97               
133                 85.00               46.82               
134                 84.57               46.40               
135                 83.03               46.00               
136                 85.00               45.95               
137                 85.00               45.97               
138                 82.99               45.96               
139                 81.56               46.80               
140                 74.55               45.56               
141                 71.33               46.44               
142                 74.88               46.82               
143                 67.12               46.83               
144                 62.79               46.86               
145                 45.79               46.86               
146                 45.73               46.44               
147                 65.75               45.75               
148                 68.84               46.87               
149                 78.46               47.36               
150                 84.89               46.17               
151                 85.00               46.54               
152                 85.00               47.36               
153                 85.00               46.59               
154                 85.00               47.05               
155                 85.00               47.09               
156                 85.00               47.51               
157                 85.00               47.51               
158                 85.00               48.00               
159                 85.00               48.00               
160                 85.00               48.49               
161                 85.00               48.49               
162                 85.00               48.49               
163                 85.00               100.00              
164                 85.00               48.60               
165                 85.00               100.00              
166                 85.00               49.80               
167                 85.00               100.00              
168                 85.00               100.00              
169                 85.00               100.00              
170                 85.00               100.00              
171                 85.00               100.00              
172                 85.00               100.00              
173                 85.00               100.00              
174                 85.00               100.00              
175                 85.00               100.00              
176                 85.00               100.00              
177                 85.00               100.00              
178                 85.00               100.00              
179                 85.00               100.00              
180                 85.00               100.00              
